taxon,COG_number,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
Bacteroides caccae TSDC17.2,2BZE3,43825000,83034000,52293000,79362000,58344000,53999000,70002000,82948000,79190000,76879000,61806000,57529000,56652000,50227000,65924000,51888000,61003000,24682000,48893000
Bacteroides caccae TSDC17.2,2C0G9,45955000,45162000,47887000,40952000,48865000,55093000,76120000,73727000,85670000,45836000,31001000,30040000,37924000,42439000,29922000,65951000,47936000,38321000,54669000
Bacteroides caccae TSDC17.2,2C0TP,9316600,6379400,13513000,8411100,6863100,8664600,7924400,9901400,18281000,11946000,9062900,6496300,6528900,8048600,8514300,9895300,11164000,14127000,9969600
Bacteroides caccae TSDC17.2,2C27K,0,0,790060,0,514560,430050,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2C3DM,2005500,2701700,2011100,2124600,1684700,1731100,888000,0,0,0,0,2025200,2028900,1651800,2768500,0,1862400,2712900,0
Bacteroides caccae TSDC17.2,2C6X9,0,0,0,0,0,0,0,0,0,799280,711850,0,0,0,0,632100,0,0,0
Bacteroides caccae TSDC17.2,2C7NJ,2505700,2728000,4343700,3469200,2024880,9274800,6719500,8230000,6070900,2042350,715230,735870,891980,1495130,1235200,1316100,2152690,2183700,2962000
Bacteroides caccae TSDC17.2,2C8BP,24665000,21268000,29838000,16645000,19501000,0,0,0,0,5814900,8453900,4789900,3768900,4307700,9275800,6391800,5688900,3862200,9886900
Bacteroides caccae TSDC17.2,2C9AD,6163600,1041400,1911700,2057100,8799800,2274400,1606500,3831700,2281700,2143700,1687700,1364000,0,1262900,2288900,2155500,3439300,1813100,0
Bacteroides caccae TSDC17.2,2CF7P,0,3223000,769110,904840,890230,0,19281000,3065700,3920000,1005300,692380,1293800,0,0,0,0,0,1221600,0
Bacteroides caccae TSDC17.2,2CH4B,0,0,0,0,0,0,0,0,0,0,686080,781690,628840,420880,0,0,0,0,704720
Bacteroides caccae TSDC17.2,2CJP4,0,0,3460000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2CJZ2,7760650,12858500,8915700,16412900,13605900,12267900,8902700,8624200,13716100,1225880,927780,672230,1031800,1067300,4501400,2178580,2876520,258260,4573200
Bacteroides caccae TSDC17.2,2DBF0,1127200,0,0,0,753780,2002100,0,0,0,0,0,0,0,0,465060,0,0,0,0
Bacteroides caccae TSDC17.2,2DBRN,2163500,5305700,10011000,6304100,6508200,1827000,13369000,8437400,21020000,5807200,2652700,2135600,1488900,3901400,3451800,3303200,3860500,8773700,5883700
Bacteroides caccae TSDC17.2,2DBTQ,2655400,2424000,0,782210,0,0,0,10321000,0,0,0,0,194550,202750,0,0,0,697100,0
Bacteroides caccae TSDC17.2,2DEYG,3091200,2614400,0,3030100,0,831300,3656700,2782300,2826200,2281600,0,0,444380,2141400,1256600,0,0,0,0
