Genome,OG,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0057,12427000,0,20750000,14826000,8673700,8533200,13366000,12387000,0,0,0,8797000,17854000,22509000,17914000,11624000,0,10917000,18425000,12713000,16757000,3047100,0,5364900,0,16172000,0,12014000,0,0,6715600,0,0,14490000,0,11681000,0,0,8437800,19587000,5113400,6237000,0,19209000,18526000,0,3183600,14805000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0111,9026800,0,15375000,12684000,17689000,0,14062000,0,0,0,22577000,0,14437000,12150000,13530000,4998400,26142000,17392000,0,12544000,13352000,0,17923000,0,17634000,17576000,0,0,12411000,0,9722900,11978000,0,18743000,10329000,12925000,11095000,0,0,15398000,0,0,23431000,8764700,28478000,13833000,0,12253000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0115,0,0,0,0,15367000,12084000,15871000,0,17758000,0,13889000,0,0,13289000,16877000,0,21724000,11827000,0,16493000,0,0,0,0,13069000,12576000,0,0,0,16734000,0,0,14802000,14295000,16613000,11975000,12075000,0,0,14015000,0,0,25138000,12200000,14716000,12974000,0,16532000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0137,0,0,9361800,9856100,0,0,0,7210000,0,0,13809000,0,3547900,0,0,0,0,0,0,0,11764000,0,14732000,0,0,0,0,0,0,0,0,9529100,18783000,15101000,0,7936500,0,0,0,8978400,0,0,10375000,0,11192000,0,0,12162000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0153,34520000,9010200,55446000,49484000,65947000,31791000,54634000,42136000,52617000,6893800,56984000,3260300,46511000,40907000,24198000,13033000,56495000,40114000,53873000,38179000,60724000,5566200,52787000,0,55626000,52452000,8585500,31877000,42076000,55831000,66903000,31631000,73911000,58560000,69846000,35428000,29766000,7989200,11083000,63657000,5559200,5761100,96950000,29221000,67322000,39302000,4464000,53315000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0156,54752000,13100000,73227000,69877000,102560000,57329000,72559000,69110000,65651000,7387400,87028000,4952000,70204000,59803000,43117000,9725800,79709000,58193000,97440000,58314000,68208000,2617200,76447000,4207500,71371000,75740000,14512000,57132000,98586000,103780000,102750000,57352000,101730000,58014000,84733000,70239000,52501000,0,14343000,102130000,2369100,6534900,136080000,60263000,80381000,103060000,2240900,84791000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0334,123340000,17365000,198506000,177568100,227950000,105354500,153650000,167690000,213560000,0,252088000,8956000,182350000,131600000,90344000,0,284229000,128157600,243450000,204085800,171123700,0,216662000,5535100,179840000,155429300,0,219679000,220460000,210948000,260677800,192251000,218270000,171879600,208820000,189690000,142880000,0,5591700,201377200,0,4662000,283117000,167067400,233682900,197220000,456250,198883000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0457,0,17661000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5960800,0,0,0,0,0,0,0,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0459,71864000,7070600,69365000,48503000,85322000,51135000,91404000,72863000,99058000,0,90899000,2729700,79984000,94722000,38319000,11756000,114470000,67385000,75293000,75129000,88416000,5019300,87033000,2311400,89056000,80198000,0,58396000,63081000,88290000,82528000,51015000,108520000,49688000,97744000,57695000,49207000,0,10297000,104900000,1729800,2565100,169380000,46035000,57479000,47480000,406070,68695000
