Taxon,Function,DC.M.48.1,DC.H.48.1,DC.M.48.2,NC.1D.48.1,DC.H.48.2,DC.L.48.1,NC.1D.48.2,DC.L.48.2,DC.L.48.3,DC.H.48.3,DC.M.48.3,NC.1D.48.3
MGYG000000022,LCOG0088,295267644.7,148617103.8,304176054.4,191331429.1,94763545.64,924720715.6,840219973.9,166049041.8,134944662.1,96636505.23,584390948.2,805909856.3
MGYG000000022,LCOG0090,3399140.936,60630605,7652556,7751121.571,57291855.83,63250271.99,459750.4286,5230458.749,1011678.143,3516315.8,4169256.876,301414.5714
MGYG000000022,LCOG0094,84144642,15553521,51383777.33,4967659,31723786,33623001.29,28554499.06,6789464.429,16815280,41308266,33750830.75,13993757.48
MGYG000000022,LCOG0097,223457595.2,11261783.53,88396135.34,19207018.6,52645008.84,38357297.46,21499276.13,224052144.9,17975844.75,51139404.35,230394134.6,14211463.5
MGYG000000022,LCOG0098,33265841,42338131,52922484.13,19676578.8,23458154,30758147,20373699.8,25808797,13135842.2,26519898,16097919.13,28773646.6
MGYG000000022,LCOG0100,3073323,1248679,0,0,0,2613005,582313,0,0,0,3837087,836193
MGYG000000022,LCOG0102,42200727.33,60660069,78235689,11617258,21274012.69,68896106,42496312.5,62140606.33,49201322,37678273.86,68647388.1,23199399.5
MGYG000000022,LCOG0103,157638013,31696323,162014231,134492776,13229251,214422112,216248499,164034287,90155970,35920994,128982410,244282207
MGYG000000022,LCOG0126,42340725.51,23532720.14,35279573.32,49732889.12,25332160.5,60253860.08,19097446.82,29256138.5,23641413.17,30248444.34,30919305.48,33016519.95
MGYG000000022,LCOG0183,15070091.88,26360181.83,21621110.33,16356007.71,30083269.67,21472536.71,19993510.57,21745817,8663847.857,19659537.92,18054632,17572449.43
MGYG000000022,LCOG0191,31006689,19995178,14843177,23412797,0,58773899.33,42939818,32403102,16088533,0,38369879.5,33136955.33
MGYG000000022,LCOG0222,1132930,0,3582282.667,0,1604678,0,472668,352899,0,0,217295,0
MGYG000000022,LCOG0238,40875619.99,13203301.13,15975925.53,26501290.42,24381747.82,44880923.91,28602399.71,26611701.16,24133271.36,30636931.78,32915045.26,21983009.5
MGYG000000022,LCOG0244,62238713.5,25136772,47285271.72,24148711,10608993.25,70268085.06,61955546.33,30451353.5,30911451,21389164,62949082,37474360.5
MGYG000000022,LCOG0246,3677943.364,20369513,29632504.47,18735521.75,6914638.143,66213714,5372122,30696414.83,34494909.69,11281614,9722393.636,22747938
MGYG000000022,LCOG0264,75849366.65,24530052,107350103.3,93438182.42,10925079.4,195673224.6,283584467.5,192458116.8,107909764.7,26692808.25,79309160.64,230114097
MGYG000000022,LCOG0280,552896810,0,357875652,119892770,0,250145550,156057024,199152682,263995838,0,312558838,174988274
MGYG000000022,LCOG0292,78724761.5,74744473,69916133.21,36759560,28763914.77,685952601,68659944.67,36805555.67,43114557.33,41936929.79,122047230.3,335643078.9
MGYG000000022,LCOG0297,9564680,5152470.667,12768909,7793500.6,7673478.5,9624726.6,3854363.2,7403758,1776583,5528823.5,8889254,1205037.5
MGYG000000022,LCOG0423,4947215,0,2772554,4411831,0,5466436,7452824,7532978,6887967,0,0,0
MGYG000000022,LCOG0441,118223945.8,40071387.65,106131552,57087306,14921880.5,87040684,92268816,88613179,63937055,25541323.5,110022677,74690441.5
MGYG000000022,LCOG0443,13094768.5,19204320,9814726,13175745,2320614.5,24122742,0,3278074.5,10184793.5,9919717,17817755.5,17377428
MGYG000000022,LCOG0448,20393790.77,90509115.33,25154608.18,19222105.5,24669699.33,60345320.67,27913610,20977057.33,21846714.33,41916060,30926345.25,36587791
MGYG000000022,LCOG0459,287869534.5,77492202.43,246558306.8,218157365.5,64931458.33,406044923.7,367150660.7,288755812.9,298641592,84401146.25,298974716.8,453352088.1
MGYG000000022,LCOG0461,14677647,18278835,8655628,1390614,0,22982222,852532,1052532,1140678,14474895,12371236.72,8672514
MGYG000000022,LCOG0516,65930664,21522122,1848676,12462452,0,110827731,0,125180056,74693052,255112,74678929,118298408
MGYG000000022,LCOG0521,850401,0,870659,1537317,0,0,0,0,1063929,0,0,0
MGYG000000022,LCOG0522,108015097.1,77453280.35,103560042.5,59172303.6,52066835.23,61179851.24,83712059,94779468.25,52421824,55063775.59,38549073.36,83405852.1
MGYG000000022,LCOG0538,78476086,0,77437481,74358400,0,142822462,140593819,113225840,0,0,76773151,125800216
MGYG000000022,LCOG0539,180632198.5,142346411,369239247,352528406,99905548,550671100,586505973,409497053,311186589.1,95262409.77,194513285,251307963
MGYG000000022,LCOG0544,23197986,21764748,32311686,19411356,13843660,35195106,21746155,29003770,16683840,22968949,20394057.62,168833014
MGYG000000022,LCOG0568,445507857,439352033,474666040.7,316317746,259746347,424261007.2,644736627.8,656278971.7,490858602.9,297299094.8,487473331.9,984063056.1
MGYG000000022,LCOG0673,212622642.2,90811072.74,95292152.75,100695079.7,98112793,342932175.1,67768505.9,67547197.43,41113431.41,81955320.44,201442435.5,213753350.1
