Genome,OG,DC.M.48.1,DC.H.48.1
MGYG000000001,LCOG0057,38643264,0
MGYG000000001,LCOG0080,0,0
MGYG000000001,LCOG0094,29434942,0
MGYG000000001,LCOG0493,775124329,0
MGYG000000001,LCOG1151,21052348,0
MGYG000000002,73K9R,0,0
MGYG000000002,LCOG0544,25264843,0
MGYG000000002,LCOG1136,217351343,0
MGYG000000002,LCOG3839,33077895,0
MGYG000000013,LCOG0674,4791318,0
MGYG000000013,LCOG0849,956709,0
MGYG000000013,LCOG1013,4791318,0
MGYG000000013,LCOG1014,4791318,0
MGYG000000013,LCOG1143,4791318,0
MGYG000000013,LCOG1262,71324687,779077
MGYG000000013,LCOG1884,19024561,0
MGYG000000013,LCOG2185,19024561,0
MGYG000000013,LCOG2885,12118084,0
MGYG000000013,LCOG3047,0,0
MGYG000000013,LCOG3537,382233766,0
MGYG000000013,LCOG4372,65215982,0
MGYG000000016,LCOG0080,465370479,0
MGYG000000016,LCOG0423,20423718,0
MGYG000000016,LCOG0674,11141678,0
MGYG000000016,LCOG1013,11141678,0
MGYG000000016,LCOG1014,11141678,0
MGYG000000016,LCOG1144,11141678,0
MGYG000000016,LCOG1918,111167510,0
MGYG000000016,LCOG2086,916989093,0
MGYG000000018,75K31,51226531,22752131.51
MGYG000000018,LCOG0051,0,35928164.03
MGYG000000018,LCOG0577,30757773,110263389.8
MGYG000000018,LCOG1102,492118067,375609420.6
MGYG000000018,LCOG3959,13218375,10174050.37
MGYG000000022,6TGSI,139534588.3,127619550.2
MGYG000000022,6U857,11180220,0
MGYG000000022,738MH,111029153.6,48625756.1
MGYG000000022,775TI,8881083.5,6313242
MGYG000000022,LCOG0013,221230060,133837349
MGYG000000022,LCOG0029,2106970,0
MGYG000000022,LCOG0046,71278561,0
MGYG000000022,LCOG0047,71278561,0
MGYG000000022,LCOG0050,12501648,0
MGYG000000022,LCOG0056,0,680833
MGYG000000022,LCOG0057,31552179,37558720.03
MGYG000000022,LCOG0081,30449343.67,60517124.28
MGYG000000022,LCOG0088,295267644.7,148617103.8
MGYG000000022,LCOG0090,3399140.936,60630605
MGYG000000022,LCOG0094,84144642,15553521
MGYG000000022,LCOG0097,223457595.2,11261783.53
MGYG000000022,LCOG0098,33265841,42338131
MGYG000000022,LCOG0100,3073323,1248679
MGYG000000022,LCOG0102,42200727.33,60660069
MGYG000000022,LCOG0103,157638013,31696323
MGYG000000022,LCOG0126,42340725.51,23532720.14
MGYG000000022,LCOG0183,15070091.88,26360181.83
MGYG000000022,LCOG0191,31006689,19995178
MGYG000000022,LCOG0222,1132930,0
MGYG000000022,LCOG0238,40875619.99,13203301.13
MGYG000000022,LCOG0244,62238713.5,25136772
MGYG000000022,LCOG0246,3677943.364,20369513
MGYG000000022,LCOG0264,75849366.65,24530052
MGYG000000022,LCOG0280,552896810,0
MGYG000000022,LCOG0292,78724761.5,74744473
MGYG000000022,LCOG0297,9564680,5152470.667
MGYG000000022,LCOG0423,4947215,0
MGYG000000022,LCOG0441,118223945.8,40071387.65
MGYG000000022,LCOG0443,13094768.5,19204320
MGYG000000022,LCOG0448,20393790.77,90509115.33
MGYG000000022,LCOG0459,287869534.5,77492202.43
MGYG000000022,LCOG0461,14677647,18278835
MGYG000000022,LCOG0516,65930664,21522122
MGYG000000022,LCOG0521,850401,0
MGYG000000022,LCOG0522,108015097.1,77453280.35
MGYG000000022,LCOG0538,78476086,0
MGYG000000022,LCOG0539,180632198.5,142346411
MGYG000000022,LCOG0544,23197986,21764748
MGYG000000022,LCOG0568,445507857,439352033
MGYG000000022,LCOG0673,212622642.2,90811072.74
MGYG000000022,LCOG0674,104512979.1,15355820.73
MGYG000000022,LCOG0737,113121169.6,69141698.53
MGYG000000022,LCOG0761,180632198.5,142346411
MGYG000000022,LCOG0800,15812393,8538899.227
MGYG000000022,LCOG0813,31959956,14565501.11
MGYG000000022,LCOG0822,2418322,0
MGYG000000022,LCOG1013,104512979.1,15355820.73
MGYG000000022,LCOG1014,104512979.1,15355820.73
MGYG000000022,LCOG1080,866805929,513035727
MGYG000000022,LCOG1082,583073575.5,624730575.4
MGYG000000022,LCOG1109,241198184.7,393080882.9
MGYG000000022,LCOG1144,109786611.1,30024239.22
MGYG000000022,LCOG1185,4611975,10950305
MGYG000000022,LCOG1201,16902677,892963
MGYG000000022,LCOG1264,111029153.6,48625756.1
MGYG000000022,LCOG1362,0,0
MGYG000000022,LCOG1426,82033277,19597567.05
MGYG000000022,LCOG1454,20694339,21260724.77
MGYG000000022,LCOG1506,113121169.6,69141698.53
MGYG000000022,LCOG1592,17990711.75,24131490.58
MGYG000000022,LCOG1653,398923191.3,192845128.8
MGYG000000022,LCOG1866,274372896.6,147304147.5
MGYG000000022,LCOG1879,61474359,14779730.93
MGYG000000022,LCOG1883,9748377.5,344038
MGYG000000022,LCOG1904,349834857.4,185825098
MGYG000000022,LCOG1912,113121169.6,69141698.53
MGYG000000022,LCOG1966,57848376.27,70792363.16
MGYG000000022,LCOG2025,249721415.6,87751502.25
MGYG000000022,LCOG2038,427200526,0
MGYG000000022,LCOG2258,850401,0
MGYG000000022,LCOG2365,113121169.6,69141698.53
MGYG000000022,LCOG2759,4785668,0
MGYG000000022,LCOG2878,5273632,14668418.49
MGYG000000022,LCOG3250,525069667.5,448250060.1
MGYG000000022,LCOG3976,2106970,0
MGYG000000022,LCOG4109,65930664,21522122
MGYG000000022,LCOG4166,402168620.6,289901226.1
MGYG000000022,LCOG4716,10556104,6292643.5
MGYG000000022,LCOG4799,1028706364,158383991.5
MGYG000000022,LCOG5016,14191984,1739414
MGYG000000024,738MN,33921009,0
MGYG000000024,LCOG0050,73559546,3689941
MGYG000000024,LCOG0149,147274121,0
MGYG000000024,LCOG0215,382313317.8,315548363
MGYG000000024,LCOG0228,19026982,0
MGYG000000024,LCOG0256,194164813,1441381
MGYG000000024,LCOG0459,175071008,0
MGYG000000024,LCOG0464,29383333,0
MGYG000000024,LCOG0542,29383333,0
MGYG000000024,LCOG0696,109688430,0
MGYG000000024,LCOG1143,296593392,0
MGYG000000024,LCOG1418,33921009,0
MGYG000000024,LCOG1894,296593392,0
MGYG000000024,LCOG2183,31512599,0
MGYG000000024,LCOG2376,29211754,22383092
MGYG000000024,LCOG3158,28399296,0
MGYG000000024,LCOG3411,296593392,0
MGYG000000027,LCOG0112,120436222,0
MGYG000000028,LCOG0191,0,3077454
MGYG000000028,LCOG0516,0,139532
MGYG000000028,LCOG0517,0,139532
MGYG000000028,LCOG0579,426095771,414090268
MGYG000000028,LCOG2086,13771575,4355396
MGYG000000028,LCOG2188,465435116,52079632
MGYG000000028,LCOG3862,8548866,4159900
MGYG000000032,6VZCJ,0,37723165
MGYG000000032,6XFKZ,13453868,0
MGYG000000032,6XJRK,97637214,0
MGYG000000032,6Z6QY,5747835,0
MGYG000000032,75K31,14200814,0
MGYG000000032,775TI,59044334.33,19087501
MGYG000000032,LCOG0039,24197936,0
MGYG000000032,LCOG0050,37768500,0
MGYG000000032,LCOG0055,3120629,0
MGYG000000032,LCOG0056,71681721,73953853
MGYG000000032,LCOG0057,5741196.75,1225658
MGYG000000032,LCOG0059,28795611,32631412
MGYG000000032,LCOG0087,983588,0
MGYG000000032,LCOG0090,72044686.67,803474
MGYG000000032,LCOG0103,292552345,168562100
MGYG000000032,LCOG0104,0,0
MGYG000000032,LCOG0111,631557.5,280382
MGYG000000032,LCOG0124,232682411,0
MGYG000000032,LCOG0126,59445998,0
MGYG000000032,LCOG0148,767961,0
MGYG000000032,LCOG0149,16641605,0
MGYG000000032,LCOG0162,223669393,125714853
MGYG000000032,LCOG0166,2474271,0
MGYG000000032,LCOG0188,143928466,0
MGYG000000032,LCOG0191,37055135.05,87254883
MGYG000000032,LCOG0197,172231054,89298388
MGYG000000032,LCOG0198,0,12115097
MGYG000000032,LCOG0205,64621031,0
MGYG000000032,LCOG0210,76947372,0
MGYG000000032,LCOG0234,5123050,0
MGYG000000032,LCOG0297,3962769,0
MGYG000000032,LCOG0326,8494029,0
MGYG000000032,LCOG0363,50064534,5354068
MGYG000000032,LCOG0370,7344674,0
MGYG000000032,LCOG0425,4341905,0
MGYG000000032,LCOG0443,36251892,0
MGYG000000032,LCOG0445,10566347,7109025
MGYG000000032,LCOG0448,2942981,0
MGYG000000032,LCOG0459,1184150286,762348915.8
MGYG000000032,LCOG0462,213417,0
MGYG000000032,LCOG0465,12342914,6456788
MGYG000000032,LCOG0480,84782881.67,0
MGYG000000032,LCOG0492,98333771.67,9007155
MGYG000000032,LCOG0493,43714082,0
MGYG000000032,LCOG0495,65841647,0
MGYG000000032,LCOG0510,382068793.8,126437544
MGYG000000032,LCOG0524,106710587,0
MGYG000000032,LCOG0527,101353920,13472177
MGYG000000032,LCOG0532,71120861.83,269797914
MGYG000000032,LCOG0539,3650698,1397679
MGYG000000032,LCOG0542,0,0
MGYG000000032,LCOG0543,701332,0
MGYG000000032,LCOG0550,1388634667,508558383
MGYG000000032,LCOG0551,1388634667,508558383
MGYG000000032,LCOG0554,5449415,9648107
MGYG000000032,LCOG0579,77426517.45,13235799
MGYG000000032,LCOG0593,1059435.5,0
MGYG000000032,LCOG0629,23012032.43,0
MGYG000000032,LCOG0634,91985902.5,210554
MGYG000000032,LCOG0667,125203889,0
MGYG000000032,LCOG0673,17129050,0
MGYG000000032,LCOG0674,165838262.3,3723675
MGYG000000032,LCOG0715,55544832,0
MGYG000000032,LCOG0747,166391063,7012823
MGYG000000032,LCOG0761,3650698,1397679
MGYG000000032,LCOG0809,40671195,56837839
MGYG000000032,LCOG1012,79202534.83,20548518
MGYG000000032,LCOG1013,165838262.3,3723675
MGYG000000032,LCOG1014,165838262.3,3723675
MGYG000000032,LCOG1028,14311423,0
MGYG000000032,LCOG1080,45892026,0
MGYG000000032,LCOG1087,23771991,0
MGYG000000032,LCOG1088,168921801.3,92339419
MGYG000000032,LCOG1109,511421016,106569058
MGYG000000032,LCOG1143,165838262.3,3723675
MGYG000000032,LCOG1171,20269635,0
MGYG000000032,LCOG1319,14423829,14556932
MGYG000000032,LCOG1344,132740647,20519811
MGYG000000032,LCOG1454,96954342.83,20089054
MGYG000000032,LCOG1472,47944252,14346885
MGYG000000032,LCOG1473,9015624,0
MGYG000000032,LCOG1592,19532580.67,6024906
MGYG000000032,LCOG1609,106710587,0
MGYG000000032,LCOG1653,403116437,0
MGYG000000032,LCOG1762,293663695,0
MGYG000000032,LCOG1846,606272,0
MGYG000000032,LCOG1862,6154358,693214
MGYG000000032,LCOG1866,824573846.3,37114929
MGYG000000032,LCOG1894,6188019,8853136
MGYG000000032,LCOG1918,431255641,0
MGYG000000032,LCOG1960,0,0
MGYG000000032,LCOG1975,11532222,0
MGYG000000032,LCOG2317,85147387,54676369
MGYG000000032,LCOG2326,64422156,48470187
MGYG000000032,LCOG2344,10826130,0
MGYG000000032,LCOG2391,0,0
MGYG000000032,LCOG2873,340232,6065578
MGYG000000032,LCOG2897,64307592,254295
MGYG000000032,LCOG2984,2576626,0
MGYG000000032,LCOG3118,68292145,0
MGYG000000032,LCOG3383,97637214,0
MGYG000000032,LCOG3411,6188019,8853136
MGYG000000032,LCOG3649,0,0
MGYG000000032,LCOG3705,98637299,0
MGYG000000032,LCOG3711,293663695,0
MGYG000000032,LCOG3804,11396536,0
MGYG000000032,LCOG3839,77609746,0
MGYG000000032,LCOG3959,590434,4081677
MGYG000000032,LCOG4166,325346784.3,350290981
MGYG000000032,LCOG4231,6188019,8853136
MGYG000000032,LCOG4799,24042379,1346633
MGYG000000032,LCOG5016,152820674.8,340969792
MGYG000000032,LCOG5263,450264021.1,45337612
MGYG000000032,LCOG5941,12009937,0
MGYG000000033,6Z0NN,34845479.5,13533439
MGYG000000033,75K31,31394928.5,14286850
MGYG000000033,775TI,40298712.67,1655328
MGYG000000033,LCOG0050,72054151.5,8282985.5
MGYG000000033,LCOG0052,511002454,111051245
MGYG000000033,LCOG0057,37293793,6479745
MGYG000000033,LCOG0058,132752256.7,107113981
MGYG000000033,LCOG0059,10600157,49165588.33
MGYG000000033,LCOG0088,515625043,205197974
MGYG000000033,LCOG0091,93874004.5,21720327
MGYG000000033,LCOG0092,73578950,101955477
MGYG000000033,LCOG0099,515283130,0
MGYG000000033,LCOG0102,60577750,47021517
MGYG000000033,LCOG0126,0,3373805
MGYG000000033,LCOG0137,32796868,28077331
MGYG000000033,LCOG0149,54834651,24166891
MGYG000000033,LCOG0166,102369,0
MGYG000000033,LCOG0222,4331757.5,1142582.5
MGYG000000033,LCOG0334,75466760,95810953.83
MGYG000000033,LCOG0443,2051447,10990918
MGYG000000033,LCOG0480,36831449.5,0
MGYG000000033,LCOG0593,126980551,22417748
MGYG000000033,LCOG0776,1530930,40211773
MGYG000000033,LCOG0782,130823881,113154515
MGYG000000033,LCOG0822,165294310,189641119.8
MGYG000000033,LCOG1028,20599430,5415983
MGYG000000033,LCOG1063,203631617,128660692
MGYG000000033,LCOG1274,582691367.5,168508588.5
MGYG000000033,LCOG1409,850058586.8,646618023
MGYG000000033,LCOG1454,117696047,225703519
MGYG000000033,LCOG1592,76306211,42907717
MGYG000000033,LCOG1653,378925589,131665687
MGYG000000033,LCOG1882,433312600.7,832698049
MGYG000000033,LCOG3345,0,0
MGYG000000033,LCOG3839,51047761.33,22257648
MGYG000000033,LCOG4577,211221735,19404510
MGYG000000035,LCOG0050,10346990,0
MGYG000000035,LCOG0085,44688813,0
MGYG000000035,LCOG0093,7951001,0
MGYG000000035,LCOG0149,44861440,0
MGYG000000035,LCOG0162,10255961.2,0
MGYG000000035,LCOG0171,137456584,0
MGYG000000035,LCOG0176,0,0
MGYG000000035,LCOG0334,22489516,0
MGYG000000035,LCOG0357,31542518,0
MGYG000000035,LCOG0388,137456584,0
MGYG000000035,LCOG0399,8586549,0
MGYG000000035,LCOG0444,853111,0
MGYG000000035,LCOG0480,15840770,0
MGYG000000035,LCOG0566,0,0
MGYG000000035,LCOG0674,64504824,0
MGYG000000035,LCOG1012,125658243,0
MGYG000000035,LCOG1013,64504824,0
MGYG000000035,LCOG1014,64504824,0
MGYG000000035,LCOG1028,16463826,0
MGYG000000035,LCOG1131,207168628,0
MGYG000000035,LCOG1143,64504824,0
MGYG000000035,LCOG1193,30350782,0
MGYG000000035,LCOG1277,81238119,0
MGYG000000035,LCOG1454,125658243,0
MGYG000000035,LCOG1850,137325732,0
MGYG000000035,LCOG3363,102038835,0
MGYG000000035,LCOG3959,0,0
MGYG000000035,LCOG4992,94842157,0
MGYG000000039,738MH,25849135,0
MGYG000000039,775TI,12408214,0
MGYG000000039,LCOG0046,786178232,0
MGYG000000039,LCOG0047,786178232,0
MGYG000000039,LCOG0050,63368965,0
MGYG000000039,LCOG0126,34050280,0
MGYG000000039,LCOG0334,20620646,0
MGYG000000039,LCOG0370,954586,0
MGYG000000039,LCOG0416,910690749,0
MGYG000000039,LCOG0709,33142158,0
MGYG000000039,LCOG0800,78629221,0
MGYG000000039,LCOG1250,13910731,0
MGYG000000039,LCOG1264,25849135,0
MGYG000000039,LCOG1454,40788053.2,108944042.8
MGYG000000039,LCOG1638,4935421,0
MGYG000000039,LCOG1783,6584360,0
MGYG000000039,LCOG1883,184730627,0
MGYG000000039,LCOG1966,31084076.07,21976075
MGYG000000039,LCOG4166,0,0
MGYG000000039,LCOG4690,235506116,0
MGYG000000045,LCOG0050,86150639,153647707
MGYG000000045,LCOG0057,0,1246193
MGYG000000045,LCOG0086,149032277,122122551
MGYG000000045,LCOG0173,83969159,62817596
MGYG000000045,LCOG0334,45258580,15322677
MGYG000000045,LCOG0696,13769777,0
MGYG000000045,LCOG1455,22252123,21658181
MGYG000000045,LCOG1827,70922178,0
MGYG000000045,LCOG2205,21775164,0
MGYG000000045,LCOG2805,306171714.7,28523459
MGYG000000045,LCOG3968,83255654,0
MGYG000000045,LCOG4932,29904822,0
MGYG000000046,LCOG0008,127945649,48438387
MGYG000000046,LCOG1014,6148626,56911
MGYG000000047,LCOG0057,49694387,24337120
MGYG000000047,LCOG0183,0,24561741
MGYG000000047,LCOG4468,116655386,104045238
MGYG000000050,6Z12K,21424118,4624116.497
MGYG000000050,LCOG0050,161582543,24294478.09
MGYG000000050,LCOG0176,0,1549696.129
MGYG000000050,LCOG0205,27616560,116317029.3
MGYG000000050,LCOG0459,0,13532548.29
MGYG000000050,LCOG0544,11527608,19937808.61
MGYG000000050,LCOG0747,4427264,5873363.009
MGYG000000050,LCOG1151,72077643,146106302.9
MGYG000000050,LCOG1172,24875429,44170692.08
MGYG000000050,LCOG1653,6185703,12490473.95
MGYG000000050,LCOG1686,80550187,75773068.27
MGYG000000050,LCOG1866,40555085,2831900.283
MGYG000000050,LCOG1879,223403450,787666182
MGYG000000050,LCOG2069,988127163,7091478.195
MGYG000000050,LCOG4799,87416121,40914247
MGYG000000051,LCOG4675,73959940,0
MGYG000000053,6WZUE,14417790,15850200
MGYG000000053,6YXYM,54662720.85,16803943
MGYG000000053,738MN,306436785.3,2611264
MGYG000000053,LCOG0002,865068579.8,778829255
MGYG000000053,LCOG0021,0,0
MGYG000000053,LCOG0050,97359882.58,26129829.83
MGYG000000053,LCOG0057,2911784.5,0
MGYG000000053,LCOG0089,773033657,821650701
MGYG000000053,LCOG0092,64955290,28952615
MGYG000000053,LCOG0153,211269334,0
MGYG000000053,LCOG0188,121819844.3,89757027
MGYG000000053,LCOG0222,410937.5,0
MGYG000000053,LCOG0249,134862326,39615166
MGYG000000053,LCOG0261,61005860,0
MGYG000000053,LCOG0292,57271255,1587440.5
MGYG000000053,LCOG0326,14048405,2073626
MGYG000000053,LCOG0332,52426295,1126493
MGYG000000053,LCOG0333,29127807.72,31750255
MGYG000000053,LCOG0334,48744707,11327916
MGYG000000053,LCOG0442,119906091,72080561
MGYG000000053,LCOG0443,799159883,401004200
MGYG000000053,LCOG0452,134207254,0
MGYG000000053,LCOG0495,14818064,0
MGYG000000053,LCOG0511,31768302,0
MGYG000000053,LCOG0514,5213022,0
MGYG000000053,LCOG0516,23000361,6050174
MGYG000000053,LCOG0525,367614673,0
MGYG000000053,LCOG0539,121134710,21818432
MGYG000000053,LCOG0550,14417790,15850200
MGYG000000053,LCOG0611,10478554,0
MGYG000000053,LCOG0612,57635543,442236
MGYG000000053,LCOG0623,227416540,6616359
MGYG000000053,LCOG0753,181293695.8,1085542.333
MGYG000000053,LCOG0801,57813013,29979645
MGYG000000053,LCOG0810,37468602,0
MGYG000000053,LCOG1053,28479846,0
MGYG000000053,LCOG1156,5793964,0
MGYG000000053,LCOG1402,118013389,13419224
MGYG000000053,LCOG1418,306436785.3,2611264
MGYG000000053,LCOG1561,171843332,23655525
MGYG000000053,LCOG1592,68508616,0
MGYG000000053,LCOG1629,13017498,131742634
MGYG000000053,LCOG1754,14417790,15850200
MGYG000000053,LCOG1866,0,0
MGYG000000053,LCOG1884,116916910.6,449374
MGYG000000053,LCOG1932,146950565,0
MGYG000000053,LCOG1960,1720279,0
MGYG000000053,LCOG1966,119128351,40079718
MGYG000000053,LCOG2185,116916910.6,449374
MGYG000000053,LCOG2311,149354956,0
MGYG000000053,LCOG2987,82658400,0
MGYG000000053,LCOG3369,21865814,8389684
MGYG000000053,LCOG3448,23000361,6050174
MGYG000000053,LCOG3537,382699145,0
MGYG000000053,LCOG3591,174309112,0
MGYG000000053,LCOG3669,120625932,121955904.2
MGYG000000053,LCOG4770,31768302,0
MGYG000000053,LCOG4799,46959160,0
MGYG000000053,LCOG4886,38082422.9,7452284
MGYG000000053,LCOG5010,237470379,0
MGYG000000053,LCOG5016,31768302,0
MGYG000000064,75K31,65742634,0
MGYG000000064,LCOG0256,51698476,0
MGYG000000064,LCOG0322,44452637,92066098
MGYG000000064,LCOG0370,18771756,315686876
MGYG000000064,LCOG0448,92793844,0
MGYG000000064,LCOG0580,5970676,0
MGYG000000064,LCOG1610,9791780,12130107
MGYG000000064,LCOG3728,1133852,0
MGYG000000064,LCOG3973,75756635,0
MGYG000000067,6WV27,0,0
MGYG000000067,6XJRK,35310159.71,94858942
MGYG000000067,6Z12K,1212142,0
MGYG000000067,75A1J,34500349,0
MGYG000000067,775TI,87508809,13145520.53
MGYG000000067,LCOG0050,16619237,0
MGYG000000067,LCOG0072,86615272,0
MGYG000000067,LCOG0073,86615272,0
MGYG000000067,LCOG0087,0,0
MGYG000000067,LCOG0096,13446054,9104088.654
MGYG000000067,LCOG0112,38300603,0
MGYG000000067,LCOG0244,1010595138,167067143
MGYG000000067,LCOG0465,11779046,0
MGYG000000067,LCOG0493,11725376,0
MGYG000000067,LCOG0516,40821233,4297796
MGYG000000067,LCOG0517,40821233,4297796
MGYG000000067,LCOG0518,16376133,14012485.86
MGYG000000067,LCOG0519,16376133,14012485.86
MGYG000000067,LCOG0542,283002838,0
MGYG000000067,LCOG0557,137456584,0
MGYG000000067,LCOG0613,215599525,258123891
MGYG000000067,LCOG0696,1465888,0
MGYG000000067,LCOG1012,0,0
MGYG000000067,LCOG1086,12587187.04,8465825
MGYG000000067,LCOG1155,13822349,6696578.021
MGYG000000067,LCOG1217,60826283.17,16755793
MGYG000000067,LCOG1362,68754120.44,9441967
MGYG000000067,LCOG1454,0,0
MGYG000000067,LCOG1653,338523585,188327529
MGYG000000067,LCOG1951,18557206.65,57590683
MGYG000000067,LCOG2876,13128861,0
MGYG000000067,LCOG3209,115966230,77610111
MGYG000000067,LCOG3383,35310159.71,94858942
MGYG000000067,LCOG3968,321628,7905567.292
MGYG000000067,LCOG5016,21018944,709241
MGYG000000071,73PFE,26849541,9987114
MGYG000000071,775TI,1151729,13611388.35
MGYG000000071,LCOG0048,13984114,63754600.37
MGYG000000071,LCOG0050,99636256,243438720.9
MGYG000000071,LCOG0052,4674787.667,29250881
MGYG000000071,LCOG0057,28999585.33,154907137.6
MGYG000000071,LCOG0078,196915366,228811471
MGYG000000071,LCOG0081,0,8443447.254
MGYG000000071,LCOG0087,211338971,111214200.2
MGYG000000071,LCOG0088,435920906.9,436466763.6
MGYG000000071,LCOG0090,77160761,151364357.8
MGYG000000071,LCOG0092,48131442,30881697.94
MGYG000000071,LCOG0099,0,7871901
MGYG000000071,LCOG0102,53351427,17681675.89
MGYG000000071,LCOG0104,0,10114655.82
MGYG000000071,LCOG0126,33518169,50370569.29
MGYG000000071,LCOG0148,75726370.33,395510815.4
MGYG000000071,LCOG0191,3833686,17332543.92
MGYG000000071,LCOG0198,10758792.33,90962762.69
MGYG000000071,LCOG0227,0,22129381.82
MGYG000000071,LCOG0244,1804538.333,27594681.81
MGYG000000071,LCOG0256,255933396,86310478
MGYG000000071,LCOG0264,3771927,25600466.94
MGYG000000071,LCOG0274,183400809,714770731.1
MGYG000000071,LCOG0363,0,6669559.997
MGYG000000071,LCOG0459,28359091.5,46785293.01
MGYG000000071,LCOG0463,25904630,7562892
MGYG000000071,LCOG0480,146655139.5,346118903.7
MGYG000000071,LCOG0493,208978685,102318042.5
MGYG000000071,LCOG0522,12934600.5,11188836.64
MGYG000000071,LCOG0535,3761692,34622490.59
MGYG000000071,LCOG0544,3690520,14553886.11
MGYG000000071,LCOG0624,8636903,30541506.89
MGYG000000071,LCOG0674,15647257,0
MGYG000000071,LCOG0677,1017704,2913477.766
MGYG000000071,LCOG0690,1256205,12094814.6
MGYG000000071,LCOG0747,0,17443700.31
MGYG000000071,LCOG1012,175977622,16270500.04
MGYG000000071,LCOG1013,15647257,0
MGYG000000071,LCOG1014,15647257,0
MGYG000000071,LCOG1143,208978685,102318042.5
MGYG000000071,LCOG1144,15647257,0
MGYG000000071,LCOG1155,8820110,18143242.65
MGYG000000071,LCOG1156,147785187,124112326
MGYG000000071,LCOG1164,6266389,25778012.59
MGYG000000071,LCOG1175,9894552,12949161.67
MGYG000000071,LCOG1335,288095336.3,129078664.5
MGYG000000071,LCOG1454,175977622,16270500.04
MGYG000000071,LCOG1457,484459,6061592.369
MGYG000000071,LCOG1472,0,10065427.26
MGYG000000071,LCOG1592,46450919,7118849.658
MGYG000000071,LCOG1653,163897084,280021827.6
MGYG000000071,LCOG1744,134508685,91485417.77
MGYG000000071,LCOG2513,2734557,7437213.686
MGYG000000071,LCOG2820,98051070.5,118414217.3
MGYG000000071,LCOG3712,495569030.7,210888995
MGYG000000071,LCOG3839,329764503.5,355396484.5
MGYG000000071,LCOG3845,1682955,42477039
MGYG000000071,LCOG4574,208978685,102318042.5
MGYG000000071,LCOG4603,6113508.5,2917033.574
MGYG000000071,LCOG4641,25904630,7562892
MGYG000000071,LCOG5426,39866788,162120476.3
MGYG000000073,LCOG0097,39749842,0
MGYG000000073,LCOG0195,342089975,112549711
MGYG000000073,LCOG0234,31963755,0
MGYG000000073,LCOG0448,325491620,0
MGYG000000073,LCOG0653,8172046,0
MGYG000000074,6UZCT,126463620,0
MGYG000000074,6VGF9,196701051.8,1594717.333
MGYG000000074,6VGQD,45588327.4,0
MGYG000000074,6WDKR,1165590650,373334063.2
MGYG000000074,6WKRJ,513087974.6,74492941
MGYG000000074,6WZUK,34909233,5929649
MGYG000000074,6X30T,89463677.79,520275
MGYG000000074,6XPJD,36065522,11512213
MGYG000000074,6Y74Z,1399383153,661326400.3
MGYG000000074,6YXYM,599940220.9,59266399.4
MGYG000000074,6Z0NN,0,0
MGYG000000074,6ZB7G,24680934.77,0
MGYG000000074,6ZM5Z,394466307.6,0
MGYG000000074,700WX,597928512.1,364861177.3
MGYG000000074,70S0F,59288359.33,1685157
MGYG000000074,7106J,22242451,0
MGYG000000074,717G5,65739097.82,84358415
MGYG000000074,73G4S,24707537,568755
MGYG000000074,76QG4,43977857.67,0
MGYG000000074,775TI,98327777.25,90739331.67
MGYG000000074,77FDJ,50396801.67,0
MGYG000000074,77SXN,24472664.45,593319
MGYG000000074,77YCF,1012957590,79704852.93
MGYG000000074,LCOG0005,1376763950,68200700
MGYG000000074,LCOG0006,7968042,0
MGYG000000074,LCOG0008,91246882,0
MGYG000000074,LCOG0012,11983252,0
MGYG000000074,LCOG0018,2130537,3556115
MGYG000000074,LCOG0021,190675197.1,44740602
MGYG000000074,LCOG0039,659148518.0999999,279721857
MGYG000000074,LCOG0046,27281355,431509
MGYG000000074,LCOG0047,27281355,431509
MGYG000000074,LCOG0049,108384878.3,24131146
MGYG000000074,LCOG0050,508188077.7,27883940.67
MGYG000000074,LCOG0052,356825092.7,61638530
MGYG000000074,LCOG0054,55846346,0
MGYG000000074,LCOG0057,1393210751,123112925.2
MGYG000000074,LCOG0058,525550204,0
MGYG000000074,LCOG0071,147205563.6,85569550.67
MGYG000000074,LCOG0072,393370059.7,167851064
MGYG000000074,LCOG0073,410606927,173419117
MGYG000000074,LCOG0076,405832441.4,174110960
MGYG000000074,LCOG0081,18068238.67,0
MGYG000000074,LCOG0085,465054700.4,572414
MGYG000000074,LCOG0086,962829983.3,541912665
MGYG000000074,LCOG0088,389263480.2,64649263.88
MGYG000000074,LCOG0090,384958024.6,86000643.6
MGYG000000074,LCOG0091,206867851,70822495.42
MGYG000000074,LCOG0092,67673593,40505798
MGYG000000074,LCOG0094,425066834.5,43651367.29
MGYG000000074,LCOG0096,586820376,10193591
MGYG000000074,LCOG0097,1275066524,308587850
MGYG000000074,LCOG0099,444562632.6,13351047
MGYG000000074,LCOG0100,4988988.538,0
MGYG000000074,LCOG0102,526540209.8,5645920
MGYG000000074,LCOG0103,124289379,137351868
MGYG000000074,LCOG0104,222810687.9,27215171
MGYG000000074,LCOG0108,0,0
MGYG000000074,LCOG0111,1047604647,525517826
MGYG000000074,LCOG0112,438064015.8,68752752.17
MGYG000000074,LCOG0115,249696348.4,30734662.2
MGYG000000074,LCOG0124,8303815,0
MGYG000000074,LCOG0126,509940677.9,89618455.88
MGYG000000074,LCOG0136,17784004.5,4711192
