,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
PR.M.48.3,8356082917.28656,18005746964.7784,5574202097.10516,7252809915.2135,10419612621.2955,6582997828.59954,7024594092.76539,4459803934.51845,7250653735.10621,9011150942.62792,6348594684.64742,17014166336.6061,7320592899.993,6875112669.34672,7775059039.6743,17383382122.2281,5520472655.63724,6557962992.61691,7283911453.66651,5744760432.10947,5429338499.33919,17310736414.7952,7732740713.60915,17150777924.3596,5005175397.84947,10277963387.0965,9421945722.23466,5509931906.29851,0,4652809165.2873,6491541059.81865,5639739947.5231,7442225003.00004,9460817221.49792,13577318997.8295,4533620074.47415,7307771094.3339,8741872738.83402,17899801322.7177,6780519374.81209,17018890908.4223,17067913587.173,6661748983.77458,7276476251.73514,10149726023.2015,7277862654.68564,17250142185.9947,9546305377.86324
NZ.M.48.2,8201307286.43335,17859288038.9616,5957828891.69662,6060284817.68363,11339035242.1989,6186111003.20366,6687918106.86205,5269545251.42772,7311186463.74076,9281783200.33804,7608443387.38009,16888215679.0856,7311488932.99712,7004494710.83382,7862525604.18645,17251441527.7929,6954009015.50843,5905464399.61435,6777623371.77129,6414967518.41548,6121949391.32634,17225919100.8524,9050861542.56057,17061372637.4662,5351768241.86188,9955892946.12796,9670990200.73852,4717284966.66809,4652809165.2873,0,5125952266.45389,5332840368.9134,5891987486.02631,9674948292.69391,13127316682.2681,4271109179.07184,6859979639.67697,8832049164.26515,17711781956.0151,7435061239.23062,16911781988.8083,16923489719.0988,6905259327.12231,7709361539.25583,9916871331.43054,6011710781.37274,17126110594.8509,9665110200.33369
NZ.L.48.1,9608587060.75415,18483178496.1223,7309211164.32989,8387990131.25236,9947449083.88149,8309624697.85925,8968498309.37751,5778932559.93843,8680365825.79513,10886719370.1377,6912677210.79631,18363745929.2572,7904337304.26019,9026966194.54313,8862616008.36912,18518029121.7564,6665546056.96677,7713638158.02941,5468973715.34532,6250628013.80867,7159043912.46986,18631251327.4027,8357383705.94541,18484917401.9199,7866103496.32938,11821441529.1524,11113250407.6486,5676879068.8445,6491541059.81865,5125952266.45389,0,5962382579.86435,6553982613.92257,10918784664.2356,11699435001.1309,6460506453.83161,8250371052.14448,9894921082.26851,18832341855.004,9302770120.34078,18352528292.0603,18391689832.2533,7270372327.28356,9044960577.56598,11091379149.0854,6599157451.14592,18564551253.1624,11104239988.8276
DC.L.48.2,7163727875.49599,16547424554.5485,5690804301.26216,5640779915.19763,11815961196.238,6245689436.96241,7396421661.73121,4833660588.91933,6835716878.49242,8760066334.78839,8287319912.22635,15997319611.0855,7072451244.92765,6307298931.75967,6811177876.5327,15988597104.8227,6930443399.30987,5638842167.41417,7087105076.29719,5597609975.56263,5520067588.75361,16297673020.8073,9202317487.92631,16132291326.0996,6567569642.1135,9643021030.06972,9458972022.23636,4114986243.6417,5639739947.5231,5332840368.9134,5962382579.86435,0,7041556305.20626,8541429263.77258,13627548597.4595,4684173826.88514,5757190686.38604,8248955198.23356,16350138553.6563,7071247848.95396,15992888206.4459,16060702490.8369,7356168870.04082,6447017142.84467,9278066694.02986,6273555972.42448,16232026975.9911,8972811203.31273
AZ.L.48.3,11468887116.0282,20047258015.0175,9071607774.18931,8749920522.04318,10244896922.0454,9541935986.64896,10179948850.1951,8060527261.19842,11006066436.759,12051204826.1916,8136896719.38346,20673830465.3482,11137888388.5346,10068313649.0075,11300053547.5899,19925857996.9995,7093698851.57815,9420226007.42626,6427627568.14009,8714556481.35271,9578760202.47718,20986593566.3635,8439173585.5486,20818898485.4641,8823773754.52942,13720142478.4099,9785334386.55997,5826708478.08859,7442225003.00004,5891987486.02631,6553982613.92257,7041556305.20626,0,11475721680.5413,10360633480.3797,7082751292.84686,10246802196.5514,10863550446.5752,20004790513.7955,11427099211.4037,20685711285.1756,20736563654.4736,9288074670.55861,10610129356.9397,12809056067.6556,4854159282.75624,20921144579.8414,10332011015.9542
AZ.H.48.2,6890972314.86036,11692511830.5165,7968240272.26263,7746158801.6105,14437347999.6306,8662740561.51015,8181697403.64299,9148431245.64852,8620096676.08941,10611536696.5396,12260675331.4026,14792299367.6731,8945746984.23099,6247960497.87846,8692867705.4086,11635641996.2338,10819608250.2507,8658893532.24243,11698966535.0372,9079627194.56198,8237770657.3708,15120023807.0029,13335467430.2746,14937569129.4246,8770518368.04213,8285332588.97826,12847103390.4358,9480911498.7271,9460817221.49792,9674948292.69391,10918784664.2356,8541429263.77258,11475721680.5413,0,17949119180.007,9451044715.78474,8185667466.05235,9592816903.68382,11519346626.6672,7926671857.73537,14784347631.7336,14835587024.2846,9473465495.35181,5931609215.69606,5846870314.44077,10555316431.6735,15050152771.5694,5354584143.93547
NZ.M.48.1,18374349008.0047,26352884848.5358,15789983034.7926,16824091123.7966,10843572272.0435,17334890088.9587,17822369108.6492,13223595808.7462,17634499985.3828,18702909218.25,11202896363.1459,28001404608.6237,17622931020.604,17081579494.3675,18047640811.6444,26633932529.6328,10534058420.0803,16970292761.3349,10416055685.6417,14474980462.2051,16331192915.755,28307895087.7303,8998321936.56241,28165166981.4849,16207379231.2499,21029610332.6073,14876772258.4868,12626455578.872,13577318997.8295,13127316682.2681,11699435001.1309,13627548597.4595,10360633480.3797,17949119180.007,0,13871087827.4732,17691159166.8044,17630499948.5349,26378223318.2556,18611268634.4294,28024747399.0296,28002996618.4567,14416069614.5559,17293903915.3334,19823131676.6415,10902724917.81,28221699117.508,16402705420.648
NZ.L.48.2,8184162378.61553,17618456159.2679,6285283398.9203,5467176322.38725,11969290950.4187,5540711385.73996,6706425392.4114,5011270611.37981,7403291600.11427,8702399177.04677,7832550465.97826,16099674031.4839,7376764547.89907,6751766715.12214,7047906477.10485,16794687281.1159,7277057913.20021,5343006044.04917,7347153991.77339,5893702214.06864,5330815478.34103,16382007111.7941,9265559237.0585,16220795430.2449,5346099710.83747,9839778856.97415,9162779682.45742,3898968707.19451,4533620074.47415,4271109179.07184,6460506453.83161,4684173826.88514,7082751292.84686,9451044715.78474,13871087827.4732,0,6481213771.85705,8347613301.93304,17415158056.6781,6749881396.67733,16101374231.7528,16171360507.9048,8287471475.92342,7781170419.51789,9880815218.53802,6764827255.21203,16325724145.7086,9623407658.76052
DC.L.48.3,4871550144.43994,14486714995.7953,5213242442.22294,4511243204.25266,14948263006.1329,4040208413.15489,4723257081.64226,6857453693.58328,5159628216.46051,6991225327.31942,11290907366.4177,11640868189.7623,4794968653.38318,5342228378.10414,4482727734.18203,13219331342.1918,10126272236.4401,3293989981.60207,10409674229.7595,6910697308.0094,4748932671.3061,11952984424.6478,12959818979.5897,11770323999.0281,5603056041.62821,6165509582.20783,11583148354.2176,7023648074.52417,7307771094.3339,6859979639.67697,8250371052.14448,5757190686.38604,10246802196.5514,8185667466.05235,17691159166.8044,6481213771.85705,0,7671190643.29476,14122722409.166,4157116597.02404,11634900034.2091,11707448796.2506,8545995058.82126,5742037363.26707,6942193127.66005,10090596832.3158,11870323283.7961,9728199333.41418
CP.L.48.3,8296637070.60705,15545619616.1736,9068497312.35073,6955578940.91735,13650283413.4795,7432732263.19327,7805707585.85696,9398411557.38358,9202859458.87679,6863570837.37908,10846111286.1903,15042704473.5577,8321500021.8008,7641264668.03888,8837449398.5957,15444733409.2456,10905932155.2023,7471649195.66663,10072950267.1949,7564422681.02779,6762850139.99227,15335182978.706,13444750046.3377,15153889733.8881,7998404843.50893,9383849631.57901,8093383885.64196,8452614007.17031,8741872738.83402,8832049164.26515,9894921082.26851,8248955198.23356,10863550446.5752,9592816903.68382,17630499948.5349,8347613301.93304,7671190643.29476,0,16105028857.1109,7922448919.7866,15008996918.4608,15083505346.3901,10350618527.962,8478299039.69761,8365616672.1039,10705175488.2274,15236575793.388,9679446547.8531
